season,award,rank,player_id,team_id,player_name,team_abbr,position,score,tiebreaker
2025,COY,1,,2,,,,156.07588992943522,"0.0,77.72164948453609,0,0,2"
2025,COY,2,,1,,,,152.94472361809045,"0.0,76.47236180904522,0,0,1"
2025,DPOY,1,1,1,Test Player,,QB,2258.5,"194,1066,145.5,52,1"
2025,DPOY,2,2,1,BUF K,,K,2242.0,"193,1061,144.5,51,2"
2025,DPOY,3,3,1,BUF P,,P,2242.0,"193,1061,144.5,51,3"
2025,GMOY,1,,2,,,,180.44329896907217,"0.0,77.72164948453609,5.0,2"
2025,GMOY,2,,1,,,,177.94472361809045,"0.0,76.47236180904522,5.0,1"
2025,MVP,1,1,1,Test Player,,QB,8196.259999999998,"194,0,-650,-187428,-66,1"
2025,MVP,2,2,1,BUF K,,K,8135.259999999999,"193,0,-645,-186978,-66,2"
2025,MVP,3,3,1,BUF P,,P,8135.259999999999,"193,0,-645,-186978,-66,3"
2025,OPOY,1,1,1,Test Player,,QB,9776.84,"194,-650,-187428,-66,1"
2025,OPOY,2,2,1,BUF K,,K,9728.34,"193,-645,-186978,-66,2"
2025,OPOY,3,3,1,BUF P,,P,9728.34,"193,-645,-186978,-66,3"
2025,ROY,1,1,1,Test Player,,QB,9652.7,"194,-650,-187428,1"
2025,ROY,2,2,1,BUF K,,K,9600.2,"193,-645,-186978,2"
2025,ROY,3,3,1,BUF P,,P,9600.2,"193,-645,-186978,3"
