season,player_id,name,position,age,team_id,total_delta,components_json,delta_awareness,delta_throw_accuracy,delta_throw_power,delta_catching,delta_tackling,delta_speed,delta_agility,delta_strength,delta_stamina,delta_morale
2025,13,Player 1_13,WR,25,1,15,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":9,""catching"":9,""morale"":1,""speed"":1,""stamina"":1},""awards_bonus"":4.5,""injury_drag"":1.0,""noise"":-0.2003258674912083,""perf"":3.0,""pos_bucket"":""WR"",""potential_mult"":1.1,""usage_mult"":1.15}",0,0,0,6,0,1,6,0,1,1
2025,17,Player 1_17,LB,25,1,15,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""morale"":1,""stamina"":1,""strength"":8,""tackling"":8},""awards_bonus"":3.5,""injury_drag"":1.0,""noise"":0.13943906091328906,""perf"":3.0,""pos_bucket"":""LB"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,6,0,0,6,1,1
2025,21,Player 1_21,QB,25,1,15,"{""age_mult"":1.09,""applied_attr_map_raw"":{""awareness"":7,""morale"":1,""stamina"":1,""throw_accuracy"":7,""throw_power"":1},""awards_bonus"":2.0,""injury_drag"":1.0,""noise"":0.240613087214811,""perf"":3.0,""pos_bucket"":""QB"",""potential_mult"":1.1,""usage_mult"":1.15}",6,6,1,0,0,0,0,0,1,1
2025,22,Player 1_22,RB,25,1,15,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":5,""awareness"":4,""speed"":5,""stamina"":1},""awards_bonus"":1.5,""injury_drag"":1.0,""noise"":0.22015229903831557,""perf"":2.0129999999999995,""pos_bucket"":""RB"",""potential_mult"":1.1,""usage_mult"":1.15}",4,0,0,0,0,5,5,0,1,0
2025,23,Player 1_23,WR,25,1,12,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":5,""catching"":5,""speed"":1,""stamina"":1},""awards_bonus"":1.5,""injury_drag"":1.0,""noise"":0.06934993862211403,""perf"":2.34168,""pos_bucket"":""WR"",""potential_mult"":1.1,""usage_mult"":1.15}",0,0,0,5,0,1,5,0,1,0
2025,32,Player 1_32,RB,25,1,12,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":4,""awareness"":3,""speed"":4,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.14222821643990635,""perf"":2.664,""pos_bucket"":""RB"",""potential_mult"":1.1,""usage_mult"":1.15}",3,0,0,0,0,4,4,0,1,0
2025,11,Player 1_11,QB,25,1,10,"{""age_mult"":1.09,""applied_attr_map_raw"":{""awareness"":4,""stamina"":1,""throw_accuracy"":4,""throw_power"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.13363460157645163,""perf"":3.0,""pos_bucket"":""QB"",""potential_mult"":1.1,""usage_mult"":0.9916083916083916}",4,4,1,0,0,0,0,0,1,0
2025,16,Player 1_16,DL,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""stamina"":1,""strength"":4,""tackling"":4},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.005109753708619991,""perf"":3.0,""pos_bucket"":""DL"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,4,0,0,4,1,0
2025,26,Player 1_26,DL,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""stamina"":1,""strength"":4,""tackling"":4},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.20608858030524052,""perf"":3.0,""pos_bucket"":""DL"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,4,0,0,4,1,0
2025,27,Player 1_27,LB,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""stamina"":1,""strength"":4,""tackling"":4},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.047835722978353645,""perf"":3.0,""pos_bucket"":""LB"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,4,0,0,4,1,0
2025,31,Player 1_31,QB,25,1,10,"{""age_mult"":1.09,""applied_attr_map_raw"":{""awareness"":4,""stamina"":1,""throw_accuracy"":4,""throw_power"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.233806896522399,""perf"":3.0,""pos_bucket"":""QB"",""potential_mult"":1.1,""usage_mult"":1.15}",4,4,1,0,0,0,0,0,1,0
2025,34,Player 1_34,TE,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":4,""catching"":4,""speed"":1,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.0660199296228769,""perf"":3.0,""pos_bucket"":""TE"",""potential_mult"":1.1,""usage_mult"":1.15}",0,0,0,4,0,1,4,0,1,0
2025,36,Player 1_36,DL,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""stamina"":1,""strength"":4,""tackling"":4},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.019691203664552792,""perf"":3.0,""pos_bucket"":""DL"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,4,0,0,4,1,0
2025,37,Player 1_37,LB,25,1,10,"{""age_mult"":1.0,""applied_attr_map_raw"":{""awareness"":1,""stamina"":1,""strength"":4,""tackling"":4},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.11111730917247298,""perf"":3.0,""pos_bucket"":""LB"",""potential_mult"":1.1,""usage_mult"":1.15}",1,0,0,0,4,0,0,4,1,0
2025,41,Player 1_41,QB,25,1,10,"{""age_mult"":1.09,""applied_attr_map_raw"":{""awareness"":4,""stamina"":1,""throw_accuracy"":4,""throw_power"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.0879435854874378,""perf"":3.0,""pos_bucket"":""QB"",""potential_mult"":1.1,""usage_mult"":1.15}",4,4,1,0,0,0,0,0,1,0
2025,2,Player 1_2,RB,25,1,9,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""awareness"":2,""speed"":3,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.07292245640431527,""perf"":3.0,""pos_bucket"":""RB"",""potential_mult"":1.1,""usage_mult"":0.8307692307692307}",2,0,0,0,0,3,3,0,1,0
2025,12,Player 1_12,RB,25,1,9,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""awareness"":2,""speed"":3,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.2410020022672883,""perf"":3.0,""pos_bucket"":""RB"",""potential_mult"":1.1,""usage_mult"":0.9818181818181818}",2,0,0,0,0,3,3,0,1,0
2025,42,Player 1_42,RB,25,1,9,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""awareness"":2,""speed"":3,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.026670707272016092,""perf"":2.178,""pos_bucket"":""RB"",""potential_mult"":1.1,""usage_mult"":1.15}",2,0,0,0,0,3,3,0,1,0
2025,4,Player 1_4,TE,25,1,8,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""catching"":3,""speed"":1,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.1633576433014544,""perf"":3.0,""pos_bucket"":""TE"",""potential_mult"":1.1,""usage_mult"":0.8727272727272727}",0,0,0,3,0,1,3,0,1,0
2025,14,Player 1_14,TE,25,1,8,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""catching"":3,""speed"":1,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":-0.22538497070809144,""perf"":2.51316,""pos_bucket"":""TE"",""potential_mult"":1.1,""usage_mult"":1.15}",0,0,0,3,0,1,3,0,1,0
2025,18,Player 1_18,DB,25,1,8,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""awareness"":3,""catching"":1,""stamina"":1},""awards_bonus"":1.5,""injury_drag"":1.0,""noise"":-0.15286827545734022,""perf"":1.08,""pos_bucket"":""DB"",""potential_mult"":1.1,""usage_mult"":1.15}",3,0,0,1,0,0,3,0,1,0
2025,19,Player 1_19,K,25,1,8,"{""age_mult"":1.1,""applied_attr_map_raw"":{""awareness"":6,""morale"":1,""stamina"":1},""awards_bonus"":1.5,""injury_drag"":1.0,""noise"":-0.15532686551428054,""perf"":3.0,""pos_bucket"":""K"",""potential_mult"":1.1,""usage_mult"":1.15}",6,0,0,0,0,0,0,0,1,1
2025,24,Player 1_24,TE,25,1,8,"{""age_mult"":1.0,""applied_attr_map_raw"":{""agility"":3,""catching"":3,""speed"":1,""stamina"":1},""awards_bonus"":0.0,""injury_drag"":1.0,""noise"":0.21064031295587737,""perf"":2.3172,""pos_bucket"":""TE"",""potential_mult"":1.1,""usage_mult"":1.15}",0,0,0,3,0,1,3,0,1,0
