full_name,position,team,annual_salary,annual_guaranteed
Aaron Rodgers,QB,PIT,22500000,22000000
Nick Folk,K,ATL,4500000,2000000
J.J. Jansen,LS,CAR,1487500,1262500
Joe Flacco,QB,CIN,6000000,4000000
Calais Campbell,DL,BAL,885000,442500
Josh Johnson,QB,CIN,885000,442500
Matthew Stafford,QB,LA,885000,442500
Jon Weeks,LS,SF,1300000,0
Morgan Cox,LS,TEN,1487500,1262500
Trent Williams,OL,SF,885000,442500
Von Miller,LB,DAL,885000,442500
Cameron Jordan,LB,NO,885000,442500
Cameron Heyward,DL,PIT,885000,442500
Andy Dalton,QB,PHI,3500000,3500000
Tyrod Taylor,QB,GB,2500000,700000
Nick Bellore,LB,WAS,885000,442500
Josh Harris,LS,LAC,1815000,1815000
Case Keenum,QB,CHI,2750000,1450000
Kirk Cousins,QB,LV,11300000,11300000
Harrison Smith,DB,MIN,885000,442500
Demario Davis,LB,NYJ,11000000,7500000
Greg Van Roten,OL,NE,885000,442500
Bryan Anger,P,DAL,3200000,1650000
Andrew DePaola,LS,MIN,1725000,1725000
Kyle Juszczyk,RB,SF,885000,442500
Adam Thielen,WR,MIN,885000,442500
John Jenkins,DL,BAL,885000,442500
Sam Martin,P,CAR,1875000,1000000
David Quessenberry,OL,LA,885000,442500
Tress Way,P,WAS,3037500,3012500
Keenan Allen,WR,IND,3320000,2810000
Tony Jefferson,DB,LAC,885000,442500
Travis Kelce,TE,KC,12000000,12000000
Lane Johnson,OL,PHI,885000,442500
Geno Smith,QB,NYJ,3300000,3300000
James Winchester,LS,KC,1700000,1700000
Casey Kreiter,LS,ARI,1487500,1262500
Khalil Mack,LB,LAC,885000,442500
Chris Boswell,K,PIT,7000000,2625000
Tyler Ott,LS,WAS,1463333,536667
Cairo Santos,K,CHI,3900000,845833
Odell Beckham Jr.,WR,NYG,1300000,0
Teddy Bridgewater,QB,DET,885000,442500
Shelby Harris,DL,NYG,885000,442500
Jake Matthews,OL,ATL,885000,442500
Morgan Moses,OL,NE,885000,442500
Kyle Van Noy,LB,MIN,885000,442500
Jadeveon Clowney,DL,HOU,885000,442500
Davante Adams,WR,LA,22000000,13000000
Aaron Donald,DL,LA,885000,442500
Mike Evans,WR,SF,14166667,4766667
DeMarcus Lawrence,LB,SEA,885000,442500
Chris Manhertz,TE,NYG,1487500,262500
Jason Myers,K,SEA,5275000,2166250
Jameis Winston,QB,NYG,6500000,6120000
Shaq Thompson,LB,BUF,885000,442500
Danielle Hunter,DL,HOU,885000,442500
Za'Darius Smith,LB,ATL,885000,442500
Grady Jarrett,DL,CHI,885000,442500
Stefon Diggs,WR,WAS,8000000,7150000
Michael Burton,RB,CLE,885000,442500
Darren Waller,TE,CAR,1300000,0
Bobby Hart,OL,SEA,885000,442500
Alex Singleton,LB,DEN,7500000,5500000
Kendall Lamm,OL,BAL,885000,442500
Leonard Williams,DL,SEA,885000,442500
Rakeem Nunez-Roches,DL,TB,885000,442500
Dante Fowler Jr.,LB,SEA,885000,442500
Bradley Pinion,P,MIA,1487500,1262500
Trent Brown,OL,HOU,885000,442500
Denzel Perryman,LB,LAC,2790000,500000
Ameer Abdullah,RB,JAX,1300000,0
Bud Dupree,LB,LAC,885000,442500
Arik Armstead,DL,JAX,885000,442500
D.J. Humphries,OL,WAS,885000,442500
Joe Cardona,LS,LA,1725000,1025000
Laken Tomlinson,OL,DAL,885000,442500
Mario Edwards,DL,HOU,885000,442500
Marcus Mariota,QB,WAS,7000000,6390000
DeForest Buckner,DL,IND,885000,442500
Laremy Tunsil,OL,WAS,885000,442500
Jarran Reed,DL,SEA,885000,442500
Joe Thuney,OL,CHI,885000,442500
Austin Hooper,TE,ATL,3250000,2740000
Nick Vannett,TE,BAL,885000,442500
Chris Moore,WR,BAL,885000,442500
Miles Killebrew,DB,TB,885000,442500
DJ Reader,DL,NYG,885000,442500
Ted Karras,OL,CIN,885000,442500
Kalif Raymond,WR,CHI,3500000,3000000
Reid Ferguson,LS,BUF,1625000,591250
Wil Lutz,K,DEN,5366667,2570555
Jonathan Jones,DB,PHI,885000,442500
Roy Robertson-Harris,DL,NYG,885000,442500
Jake Brendel,OL,SF,885000,442500
Ka'imi Fairbairn,K,HOU,6640000,5830000
Luke Rhodes,LS,IND,1616250,625000
Sheldon Rankins,DL,HOU,885000,442500
Chris Jones,DL,KC,885000,442500
Derrick Henry,RB,BAL,15000000,12500000
Demarcus Robinson,WR,SF,4000000,3000000
A'Shawn Robinson,DL,TB,885000,442500
C.J. Ham,RB,MIN,885000,442500
