season_file,qtr,td,fg_made,xp_good,two_pt_success,safeties
2020,1,309,161,278,1,4
2020,2,467,302,427,3,8
2020,3,316,160,269,12,3
2020,4,448,229,324,50,9
2020,5,3,7,0,0,0
2021,1,288,145,268,3,3
2021,2,435,326,387,9,4
2021,3,316,159,265,13,1
2021,4,446,270,315,54,0
2021,5,9,18,0,0,0
2022,1,261,185,246,1,2
2022,2,441,336,409,7,1
2022,3,295,175,253,11,2
2022,4,387,236,275,43,8
2022,5,6,12,0,0,0
2023,1,277,176,264,2,3
2023,2,426,326,393,9,4
2023,3,281,184,232,23,3
2023,4,386,254,298,39,8
2023,5,7,10,0,0,0
2024,1,282,173,268,1,1
2024,2,428,354,398,6,6
2024,3,312,194,266,13,2
2024,4,430,254,313,40,8
2024,5,9,7,0,0,0
